model,r,beta,eu_diff_raw,eu_diff_norm,risky_rate
gpt-4-1,-3.0,0.01,221279250.0,-0.5983544536224211,1.0
gpt-4-1,-3.0,0.01,461545499.9999999,-0.4821491252073554,1.0
gpt-4-1,-3.0,0.01,9509500.0,-0.7007773837972849,1.0
gpt-4-1,-3.0,0.01,88389500.0,-0.6626268890632955,1.0
gpt-4-1,-3.0,0.01,139079500.0,-0.6381105531344679,1.0
gpt-4-1,-3.0,0.01,346949500.0,-0.5375737460812937,1.0
gpt-4-1,-3.0,0.01,23393500.0,-0.6940623550335082,1.0
gpt-4-1,-3.0,0.01,63859750.0,-0.6744907594765952,1.0
gpt-4-1,-3.0,0.01,112133500.0,-0.6511430484577702,1.0
gpt-4-1,-3.0,0.01,313519750.00000006,-0.5537421221123989,1.0
gpt-4-1,-3.0,0.01,5625000000.0,2.015167605414399,1.0
gpt-4-1,-3.0,0.01,16025000000.0,7.045151698131058,1.0
gpt-4-1,-3.0,0.01,36225000000.0,16.81492849359995,1.0
gpt-4-1,-3.0,0.01,71025000000.0,33.646029111536464,1.0
gpt-4-1,-3.0,0.01,163462500000.0,78.35364012793032,1.0
gpt-4-1,-3.0,0.01,326610937500.0,157.2607598756782,1.0
gpt-4-1,-3.0,0.01,900000000.0,-0.27008959055542886,1.0
gpt-4-1,-3.0,0.01,2745000000.0000005,0.6222489335851709,1.0
gpt-4-1,-3.0,0.01,6100000000.000001,2.244902455802901,1.0
gpt-4-1,-3.0,0.01,11625000000.0,4.917081505058625,1.0
gpt-4-1,-3.0,0.01,25720312500.0,11.734312048988459,1.0
gpt-4-1,-3.0,0.01,72825000000.0,34.51660328142973,1.0
gpt-4-1,-3.0,0.01,225000000.0,-0.5965549042654043,1.0
gpt-4-1,-3.0,0.01,1023120750.0,-0.21054195459549188,1.0
gpt-4-1,-3.0,0.01,2181600749.9999995,0.349759581147815,1.0
gpt-4-1,-3.0,0.01,4305000000.0,1.3767465474926694,1.0
gpt-4-1,-3.0,0.01,9337500000.0,3.810726830819264,1.0
gpt-4-1,-3.0,0.01,25982280750.0,11.861013599978538,1.0
gpt-4-1,-3.0,0.01,-91341645.0,-0.7495542737090408,1.0
gpt-4-1,-3.0,0.01,183720000.0,-0.6165200718949565,1.0
gpt-4-1,-3.0,0.01,625000000.0,-0.40309397762245586,1.0
gpt-4-1,-3.0,0.01,1282920000.0,-0.08488944548013436,1.0
gpt-4-1,-3.0,0.01,2812500000.0,0.6548954649561681,1.0
gpt-4-1,-3.0,0.01,7425000000.0,2.885741775307667,1.0
gpt-4-1,-3.0,0.01,188107999.99999988,-0.6143978055296835,1.0
gpt-4-1,-3.0,0.01,537521749.9999999,-0.4454030358877147,1.0
gpt-4-1,-3.0,0.01,1223661749.9999998,-0.11354983537073321,1.0
gpt-4-1,-3.0,0.01,3656021750.0,1.062866713452372,1.0
gpt-4-1,-3.0,0.01,73512000.0,-0.6698224264036217,1.0
gpt-4-1,-3.0,0.01,386250000.0000001,-0.5185659682124656,1.0
gpt-4-1,-3.0,0.01,1019562000.0000002,-0.21226315227721823,1.0
gpt-4-1,-3.0,0.01,2606250000.0,0.5551421746558979,1.0
gpt-4-1,-3.0,0.01,232142250.0,-0.5931005385071153,1.0
gpt-4-1,-3.0,0.01,798242250.0,-0.31930496207568254,1.0
gpt-4-1,-3.0,0.01,1961796000.0,0.24345050460901124,1.0
gpt-4-1,-3.0,0.01,24045937500.000004,10.924496701368994,1.0
gpt-4-1,-3.0,0.01,70448437500.0,33.367173322742524,1.0
gpt-4-1,-3.0,0.01,162885937500.0,78.07478433913639,1.0
gpt-4-1,-3.0,0.01,324848437500.00006,156.40832266765773,1.0
gpt-4-1,-3.0,0.01,3618750000.0,1.044840145220861,1.0
gpt-4-1,-3.0,0.01,11048437500.0,4.638225716264688,1.0
gpt-4-1,-3.0,0.01,25143750000.0,11.455456260194522,1.0
gpt-4-1,-3.0,0.01,49043437500.00001,23.014595485761753,1.0
gpt-4-1,-3.0,0.01,109810165500.00002,52.40456425561175,1.0
gpt-4-1,-3.0,0.01,326610937500.0,157.2607598756782,1.0
gpt-4-1,-3.0,0.01,960937500.0,-0.24061702751216718,1.0
gpt-4-1,-3.0,0.01,3728437500.0,1.097890758698732,1.0
gpt-4-1,-3.0,0.01,8760937500.0,3.5318710420253265,1.0
gpt-4-1,-3.0,0.01,17048437500.0,7.540139615908914,1.0
gpt-4-1,-3.0,0.01,38191406249.99999,17.76598543180366,1.0
gpt-4-1,-3.0,0.01,108848437500.0,51.93942228046557,1.0
gpt-4-1,-3.0,0.01,-91341645.0,-0.7495542737090408,1.0
gpt-4-1,-3.0,0.01,706357500.0,-0.3637452342740717,1.0
gpt-4-1,-3.0,0.01,2235937500.0,0.37603967616223083,1.0
gpt-4-1,-3.0,0.01,4632757500.0,1.5352672216531098,1.0
gpt-4-1,-3.0,0.01,10474218750.0,4.360503487587799,1.0
gpt-4-1,-3.0,0.01,29048437500.0,13.343967415197366,1.0
gpt-4-1,-3.0,0.01,-39040750.00000012,-0.724258824681652,1.0
gpt-4-1,-3.0,0.01,647099249.9999998,-0.39240562416467056,1.0
gpt-4-1,-3.0,0.01,1970265500.0,0.24754679790451736,1.0
gpt-4-1,-3.0,0.01,4476405500.0,1.4596472146469142,1.0
gpt-4-1,-3.0,0.01,12839279249.999998,5.504370477329386,1.0
gpt-4-1,-3.0,0.01,442999500.00000024,-0.49111894107115556,1.0
gpt-4-1,-3.0,0.01,1125589500.0000002,-0.16098270627813022,1.0
gpt-4-1,-3.0,0.01,3198709500.0,0.8416865843269427,1.0
gpt-4-1,-3.0,0.01,9645269500.000002,3.9595802624753573,1.0
gpt-4-1,-3.0,0.01,221679750.0,-0.5981607508696198,1.0
gpt-4-1,-3.0,0.01,848437500.0,-0.2950279131304964,1.0
gpt-4-1,-3.0,0.01,2402343750.0,0.45652244447267615,1.0
gpt-4-1,-3.0,0.01,6718239750.000001,2.5439155431091627,1.0
gpt-4o-mini,-3.0,0.01,535937500.0,-0.44616926207029983,1.0
gpt-4o-mini,-3.0,0.01,1458437500.0000002,0.0,1.0
gpt-4o-mini,-3.0,0.01,3135937500.0000005,0.8113267611088649,1.0
gpt-4o-mini,-3.0,0.01,5898437500.0,2.1474162857367274,1.0
gpt-4o-mini,-3.0,0.01,12946093750.0,5.556031557701644,1.0
gpt-4o-mini,-3.0,0.01,36498437500.0,16.94717717392228,1.0
gpt-4o-mini,-3.0,0.01,88750000.00000003,-0.6624525324031586,1.0
gpt-4o-mini,-3.0,0.01,298437500.00000006,-0.5610366872645505,1.0
gpt-4o-mini,-3.0,0.01,643750000.0,-0.3940254966860677,1.0
gpt-4o-mini,-3.0,0.01,1173437500.0,-0.13784091023310086,1.0
gpt-4o-mini,-3.0,0.01,2547645500.0000005,0.5267979724672814,1.0
gpt-4o-mini,-3.0,0.01,6373437500.000001,2.377151136125229,1.0
gpt-4o-mini,-3.0,0.01,10937500.0,-0.7000867282891696,1.0
gpt-4o-mini,-3.0,0.01,100818249.99999997,-0.6566156953332617,1.0
gpt-4o-mini,-3.0,0.01,289518250.0,-0.5653505031894508,1.0
gpt-4o-mini,-3.0,0.01,498437500.0,-0.46430622394307625,1.0
gpt-4o-mini,-3.0,0.01,1016406250.0,-0.21378943807535208,1.0
gpt-4o-mini,-3.0,0.01,2455038249.9999995,0.48200826147014303,1.0
gpt-4o-mini,-3.0,0.01,-32142500.0,-0.7209224700886152,1.0
gpt-4o-mini,-3.0,0.01,17157500.0,-0.6970784108798718,1.0
gpt-4o-mini,-3.0,0.01,85937500.0,-0.6638128045436168,1.0
gpt-4o-mini,-3.0,0.01,178757500.0,-0.6189201965161206,1.0
gpt-4o-mini,-3.0,0.01,374218750.0,-0.5243849101466481,1.0
gpt-4o-mini,-3.0,0.01,898437500.0,-0.27084529730012785,1.0
gpt-4o-mini,-3.0,0.01,-4374500.000000015,-0.7074924125610617,1.0
gpt-4o-mini,-3.0,0.01,27099250.0,-0.6922700604612404,1.0
gpt-4o-mini,-3.0,0.01,108999250.0,-0.6526589357310968,1.0
gpt-4o-mini,-3.0,0.01,221279250.0,-0.5983544536224211,1.0
gpt-4o-mini,-3.0,0.01,461545499.9999999,-0.4821491252073554,1.0
gpt-4o-mini,-3.0,0.01,9509500.0,-0.7007773837972849,1.0
gpt-4o-mini,-3.0,0.01,88389500.0,-0.6626268890632955,1.0
gpt-4o-mini,-3.0,0.01,139079500.0,-0.6381105531344679,1.0
gpt-4o-mini,-3.0,0.01,346949500.0,-0.5375737460812937,1.0
gpt-4o-mini,-3.0,0.01,23393500.0,-0.6940623550335082,1.0
gpt-4o-mini,-3.0,0.01,63859750.0,-0.6744907594765952,1.0
gpt-4o-mini,-3.0,0.01,112133500.0,-0.6511430484577702,1.0
gpt-4o-mini,-3.0,0.01,313519750.00000006,-0.5537421221123989,1.0
gpt-4o-mini,-3.0,0.01,5625000000.0,2.015167605414399,1.0
gpt-4o-mini,-3.0,0.01,16025000000.0,7.045151698131058,1.0
gpt-4o-mini,-3.0,0.01,36225000000.0,16.81492849359995,1.0
gpt-4o-mini,-3.0,0.01,71025000000.0,33.646029111536464,1.0
gpt-4o-mini,-3.0,0.01,163462500000.0,78.35364012793032,1.0
gpt-4o-mini,-3.0,0.01,326610937500.0,157.2607598756782,1.0
gpt-4o-mini,-3.0,0.01,900000000.0,-0.27008959055542886,1.0
gpt-4o-mini,-3.0,0.01,2745000000.0000005,0.6222489335851709,1.0
gpt-4o-mini,-3.0,0.01,6100000000.000001,2.244902455802901,1.0
gpt-4o-mini,-3.0,0.01,11625000000.0,4.917081505058625,1.0
gpt-4o-mini,-3.0,0.01,25720312500.0,11.734312048988459,1.0
gpt-4o-mini,-3.0,0.01,72825000000.0,34.51660328142973,1.0
gpt-4o-mini,-3.0,0.01,225000000.0,-0.5965549042654043,1.0
gpt-4o-mini,-3.0,0.01,1023120750.0,-0.21054195459549188,1.0
gpt-4o-mini,-3.0,0.01,2181600749.9999995,0.349759581147815,1.0
gpt-4o-mini,-3.0,0.01,4305000000.0,1.3767465474926694,1.0
gpt-4o-mini,-3.0,0.01,9337500000.0,3.810726830819264,1.0
gpt-4o-mini,-3.0,0.01,25982280750.0,11.861013599978538,1.0
gpt-4o-mini,-3.0,0.01,-91341645.0,-0.7495542737090408,1.0
gpt-4o-mini,-3.0,0.01,183720000.0,-0.6165200718949565,1.0
gpt-4o-mini,-3.0,0.01,625000000.0,-0.40309397762245586,1.0
gpt-4o-mini,-3.0,0.01,1282920000.0,-0.08488944548013436,1.0
gpt-4o-mini,-3.0,0.01,2812500000.0,0.6548954649561681,1.0
gpt-4o-mini,-3.0,0.01,7425000000.0,2.885741775307667,1.0
gpt-4o-mini,-3.0,0.01,188107999.99999988,-0.6143978055296835,1.0
gpt-4o-mini,-3.0,0.01,537521749.9999999,-0.4454030358877147,1.0
gpt-4o-mini,-3.0,0.01,1223661749.9999998,-0.11354983537073321,1.0
gpt-4o-mini,-3.0,0.01,3656021750.0,1.062866713452372,1.0
gpt-4o-mini,-3.0,0.01,73512000.0,-0.6698224264036217,1.0
gpt-4o-mini,-3.0,0.01,386250000.0000001,-0.5185659682124656,1.0
gpt-4o-mini,-3.0,0.01,1019562000.0000002,-0.21226315227721823,1.0
gpt-4o-mini,-3.0,0.01,2606250000.0,0.5551421746558979,1.0
gpt-4o-mini,-3.0,0.01,232142250.0,-0.5931005385071153,1.0
gpt-4o-mini,-3.0,0.01,798242250.0,-0.31930496207568254,1.0
gpt-4o-mini,-3.0,0.01,1961796000.0,0.24345050460901124,1.0
gpt-4o-mini,-3.0,0.01,24045937500.000004,10.924496701368994,1.0
gpt-4o-mini,-3.0,0.01,70448437500.0,33.367173322742524,1.0
gpt-4o-mini,-3.0,0.01,162885937500.0,78.07478433913639,1.0
gpt-4o-mini,-3.0,0.01,324848437500.00006,156.40832266765773,1.0
gpt-4o-mini,-3.0,0.01,3618750000.0,1.044840145220861,1.0
gpt-4o-mini,-3.0,0.01,11048437500.0,4.638225716264688,1.0
gpt-4o-mini,-3.0,0.01,25143750000.0,11.455456260194522,1.0
gpt-4o-mini,-3.0,0.01,49043437500.00001,23.014595485761753,1.0
gpt-4o-mini,-3.0,0.01,109810165500.00002,52.40456425561175,1.0
gpt-4o-mini,-3.0,0.01,326610937500.0,157.2607598756782,1.0
gpt-4o-mini,-3.0,0.01,960937500.0,-0.24061702751216718,1.0
gpt-4o-mini,-3.0,0.01,3728437500.0,1.097890758698732,1.0
gpt-4o-mini,-3.0,0.01,8760937500.0,3.5318710420253265,1.0
gpt-4o-mini,-3.0,0.01,17048437500.0,7.540139615908914,1.0
gpt-4o-mini,-3.0,0.01,38191406249.99999,17.76598543180366,1.0
gpt-4o-mini,-3.0,0.01,108848437500.0,51.93942228046557,1.0
gpt-4o-mini,-3.0,0.01,-91341645.0,-0.7495542737090408,1.0
gpt-4o-mini,-3.0,0.01,706357500.0,-0.3637452342740717,1.0
gpt-4o-mini,-3.0,0.01,2235937500.0,0.37603967616223083,1.0
gpt-4o-mini,-3.0,0.01,4632757500.0,1.5352672216531098,1.0
gpt-4o-mini,-3.0,0.01,10474218750.0,4.360503487587799,1.0
gpt-4o-mini,-3.0,0.01,29048437500.0,13.343967415197366,1.0
gpt-4o-mini,-3.0,0.01,-39040750.00000012,-0.724258824681652,1.0
gpt-4o-mini,-3.0,0.01,647099249.9999998,-0.39240562416467056,1.0
gpt-4o-mini,-3.0,0.01,1970265500.0,0.24754679790451736,1.0
gpt-4o-mini,-3.0,0.01,4476405500.0,1.4596472146469142,1.0
gpt-4o-mini,-3.0,0.01,12839279249.999998,5.504370477329386,1.0
gpt-4o-mini,-3.0,0.01,442999500.00000024,-0.49111894107115556,1.0
gpt-4o-mini,-3.0,0.01,1125589500.0000002,-0.16098270627813022,1.0
gpt-4o-mini,-3.0,0.01,3198709500.0,0.8416865843269427,1.0
gpt-4o-mini,-3.0,0.01,9645269500.000002,3.9595802624753573,1.0
gpt-4o-mini,-3.0,0.01,221679750.0,-0.5981607508696198,1.0
gpt-4o-mini,-3.0,0.01,848437500.0,-0.2950279131304964,1.0
gpt-4o-mini,-3.0,0.01,2402343750.0,0.45652244447267615,1.0
gpt-4o-mini,-3.0,0.01,6718239750.000001,2.5439155431091627,1.0
gpt-4o,-3.0,0.01,535937500.0,-0.44616926207029983,1.0
gpt-4o,-3.0,0.01,1458437500.0000002,0.0,1.0
gpt-4o,-3.0,0.01,3135937500.0000005,0.8113267611088649,1.0
gpt-4o,-3.0,0.01,5898437500.0,2.1474162857367274,1.0
gpt-4o,-3.0,0.01,12946093750.0,5.556031557701644,1.0
gpt-4o,-3.0,0.01,36498437500.0,16.94717717392228,1.0
gpt-4o,-3.0,0.01,88750000.00000003,-0.6624525324031586,1.0
gpt-4o,-3.0,0.01,298437500.00000006,-0.5610366872645505,1.0
gpt-4o,-3.0,0.01,643750000.0,-0.3940254966860677,1.0
gpt-4o,-3.0,0.01,1173437500.0,-0.13784091023310086,1.0
gpt-4o,-3.0,0.01,2547645500.0000005,0.5267979724672814,1.0
gpt-4o,-3.0,0.01,6373437500.000001,2.377151136125229,1.0
gpt-4o,-3.0,0.01,10937500.0,-0.7000867282891696,1.0
gpt-4o,-3.0,0.01,100818249.99999997,-0.6566156953332617,1.0
gpt-4o,-3.0,0.01,289518250.0,-0.5653505031894508,1.0
gpt-4o,-3.0,0.01,498437500.0,-0.46430622394307625,1.0
gpt-4o,-3.0,0.01,1016406250.0,-0.21378943807535208,1.0
gpt-4o,-3.0,0.01,2455038249.9999995,0.48200826147014303,1.0
gpt-4o,-3.0,0.01,-32142500.0,-0.7209224700886152,1.0
gpt-4o,-3.0,0.01,17157500.0,-0.6970784108798718,1.0
gpt-4o,-3.0,0.01,85937500.0,-0.6638128045436168,1.0
gpt-4o,-3.0,0.01,178757500.0,-0.6189201965161206,1.0
gpt-4o,-3.0,0.01,374218750.0,-0.5243849101466481,1.0
gpt-4o,-3.0,0.01,898437500.0,-0.27084529730012785,1.0
gpt-4o,-3.0,0.01,-4374500.000000015,-0.7074924125610617,1.0
gpt-4o,-3.0,0.01,27099250.0,-0.6922700604612404,1.0
gpt-4o,-3.0,0.01,108999250.0,-0.6526589357310968,1.0
gpt-4o,-3.0,0.01,221279250.0,-0.5983544536224211,1.0
gpt-4o,-3.0,0.01,461545499.9999999,-0.4821491252073554,1.0
gpt-4o,-3.0,0.01,9509500.0,-0.7007773837972849,1.0
gpt-4o,-3.0,0.01,88389500.0,-0.6626268890632955,1.0
gpt-4o,-3.0,0.01,139079500.0,-0.6381105531344679,1.0
gpt-4o,-3.0,0.01,346949500.0,-0.5375737460812937,1.0
gpt-4o,-3.0,0.01,23393500.0,-0.6940623550335082,1.0
gpt-4o,-3.0,0.01,63859750.0,-0.6744907594765952,1.0
gpt-4o,-3.0,0.01,112133500.0,-0.6511430484577702,1.0
gpt-4o,-3.0,0.01,313519750.00000006,-0.5537421221123989,1.0
gpt-4o,-3.0,0.01,5625000000.0,2.015167605414399,1.0
gpt-4o,-3.0,0.01,16025000000.0,7.045151698131058,1.0
gpt-4o,-3.0,0.01,36225000000.0,16.81492849359995,1.0
gpt-4o,-3.0,0.01,71025000000.0,33.646029111536464,1.0
gpt-4o,-3.0,0.01,163462500000.0,78.35364012793032,1.0
gpt-4o,-3.0,0.01,326610937500.0,157.2607598756782,1.0
gpt-4o,-3.0,0.01,900000000.0,-0.27008959055542886,1.0
gpt-4o,-3.0,0.01,2745000000.0000005,0.6222489335851709,1.0
gpt-4o,-3.0,0.01,6100000000.000001,2.244902455802901,1.0
gpt-4o,-3.0,0.01,11625000000.0,4.917081505058625,1.0
gpt-4o,-3.0,0.01,25720312500.0,11.734312048988459,1.0
gpt-4o,-3.0,0.01,72825000000.0,34.51660328142973,1.0
gpt-4o,-3.0,0.01,225000000.0,-0.5965549042654043,1.0
gpt-4o,-3.0,0.01,1023120750.0,-0.21054195459549188,1.0
gpt-4o,-3.0,0.01,2181600749.9999995,0.349759581147815,1.0
gpt-4o,-3.0,0.01,4305000000.0,1.3767465474926694,1.0
gpt-4o,-3.0,0.01,9337500000.0,3.810726830819264,1.0
gpt-4o,-3.0,0.01,25982280750.0,11.861013599978538,1.0
gpt-4o,-3.0,0.01,-91341645.0,-0.7495542737090408,1.0
gpt-4o,-3.0,0.01,183720000.0,-0.6165200718949565,1.0
gpt-4o,-3.0,0.01,625000000.0,-0.40309397762245586,1.0
gpt-4o,-3.0,0.01,1282920000.0,-0.08488944548013436,1.0
gpt-4o,-3.0,0.01,2812500000.0,0.6548954649561681,1.0
gpt-4o,-3.0,0.01,7425000000.0,2.885741775307667,1.0
gpt-4o,-3.0,0.01,188107999.99999988,-0.6143978055296835,1.0
gpt-4o,-3.0,0.01,537521749.9999999,-0.4454030358877147,1.0
gpt-4o,-3.0,0.01,1223661749.9999998,-0.11354983537073321,1.0
gpt-4o,-3.0,0.01,3656021750.0,1.062866713452372,1.0
gpt-4o,-3.0,0.01,73512000.0,-0.6698224264036217,1.0
gpt-4o,-3.0,0.01,386250000.0000001,-0.5185659682124656,1.0
gpt-4o,-3.0,0.01,1019562000.0000002,-0.21226315227721823,1.0
gpt-4o,-3.0,0.01,2606250000.0,0.5551421746558979,1.0
gpt-4o,-3.0,0.01,232142250.0,-0.5931005385071153,1.0
gpt-4o,-3.0,0.01,798242250.0,-0.31930496207568254,1.0
gpt-4o,-3.0,0.01,1961796000.0,0.24345050460901124,1.0
gpt-4o,-3.0,0.01,24045937500.000004,10.924496701368994,1.0
gpt-4o,-3.0,0.01,70448437500.0,33.367173322742524,1.0
gpt-4o,-3.0,0.01,162885937500.0,78.07478433913639,1.0
gpt-4o,-3.0,0.01,324848437500.00006,156.40832266765773,1.0
gpt-4o,-3.0,0.01,3618750000.0,1.044840145220861,1.0
gpt-4o,-3.0,0.01,11048437500.0,4.638225716264688,1.0
gpt-4o,-3.0,0.01,25143750000.0,11.455456260194522,1.0
gpt-4o,-3.0,0.01,49043437500.00001,23.014595485761753,1.0
gpt-4o,-3.0,0.01,109810165500.00002,52.40456425561175,1.0
gpt-4o,-3.0,0.01,326610937500.0,157.2607598756782,1.0
gpt-4o,-3.0,0.01,960937500.0,-0.24061702751216718,1.0
gpt-4o,-3.0,0.01,3728437500.0,1.097890758698732,1.0
gpt-4o,-3.0,0.01,8760937500.0,3.5318710420253265,1.0
gpt-4o,-3.0,0.01,17048437500.0,7.540139615908914,1.0
gpt-4o,-3.0,0.01,38191406249.99999,17.76598543180366,1.0
gpt-4o,-3.0,0.01,108848437500.0,51.93942228046557,1.0
gpt-4o,-3.0,0.01,-91341645.0,-0.7495542737090408,1.0
gpt-4o,-3.0,0.01,706357500.0,-0.3637452342740717,1.0
gpt-4o,-3.0,0.01,2235937500.0,0.37603967616223083,1.0
gpt-4o,-3.0,0.01,4632757500.0,1.5352672216531098,1.0
gpt-4o,-3.0,0.01,10474218750.0,4.360503487587799,1.0
gpt-4o,-3.0,0.01,29048437500.0,13.343967415197366,1.0
gpt-4o,-3.0,0.01,-39040750.00000012,-0.724258824681652,1.0
gpt-4o,-3.0,0.01,647099249.9999998,-0.39240562416467056,1.0
gpt-4o,-3.0,0.01,1970265500.0,0.24754679790451736,1.0
gpt-4o,-3.0,0.01,4476405500.0,1.4596472146469142,1.0
gpt-4o,-3.0,0.01,12839279249.999998,5.504370477329386,1.0
gpt-4o,-3.0,0.01,442999500.00000024,-0.49111894107115556,1.0
gpt-4o,-3.0,0.01,1125589500.0000002,-0.16098270627813022,1.0
gpt-4o,-3.0,0.01,3198709500.0,0.8416865843269427,1.0
gpt-4o,-3.0,0.01,9645269500.000002,3.9595802624753573,1.0
gpt-4o,-3.0,0.01,221679750.0,-0.5981607508696198,1.0
gpt-4o,-3.0,0.01,848437500.0,-0.2950279131304964,1.0
gpt-4o,-3.0,0.01,2402343750.0,0.45652244447267615,1.0
gpt-4o,-3.0,0.01,6718239750.000001,2.5439155431091627,1.0
gpt-5,1.0,0.28260281240506274,0.2595364066349761,1.5166270180567454,1.0
gpt-5,1.0,0.28260281240506274,-0.06391668575494158,0.2514638783891469,1.0
gpt-5,1.0,0.28260281240506274,-0.6218468339575098,-1.9308391343897544,1.0
gpt-5,1.0,0.28260281240506274,-0.6390318596501761,-1.9980571068628463,1.0
gpt-5,1.0,0.28260281240506274,-0.05889151782819191,0.2711194556000133,1.0
gpt-5,1.0,0.28260281240506274,0.30906319423634887,1.7103474293733514,1.0
gpt-5,1.0,0.28260281240506274,-0.3617729874261979,-0.9135792844627791,1.0
gpt-5,1.0,0.28260281240506274,-0.0645221422802118,0.24909567942470573,1.0
gpt-5,1.0,0.28260281240506274,0.3527833555166727,1.881355646062494,1.0
gpt-5,1.0,0.28260281240506274,0.014229915970389584,0.5571286017116535,1.0
gpt-5,1.0,0.28260281240506274,-0.33251768715756036,-0.7991493148300587,1.0
gpt-5,1.0,0.28260281240506274,-0.4557737132753452,-1.2812562560063891,1.0
gpt-5,1.0,0.28260281240506274,-0.0758814215077317,0.20466468862581247,1.0
gpt-5,1.0,0.28260281240506274,-0.08125946474888668,0.1836288654034285,1.0
gpt-5,1.0,0.28260281240506274,0.05666434265350162,0.7231077614585089,1.0
gpt-5,1.0,0.28260281240506274,-0.1969221500346432,-0.2687772778716276,1.0
gpt-5,1.0,0.28260281240506274,-0.4882774991748997,-1.408392439852766,1.0
gpt-5,1.0,0.28260281240506274,-0.2742708828252738,-0.5713211951476976,1.0
gpt-5,1.0,0.28260281240506274,0.3386020024569216,1.8258863196472097,1.0
gpt-5,1.0,0.28260281240506274,0.2007794151493103,1.286803338597793,1.0
gpt-5,1.0,0.28260281240506274,-0.022364136164899406,0.41399364031567104,1.0
gpt-5,1.0,0.28260281240506274,0.25110404251649854,1.4836444418688726,1.0
gpt-5,1.0,0.28260281240506274,-0.019637040050708876,0.4246604775269394,1.0
gpt-5,1.0,0.28260281240506274,-0.21087409320263184,-0.3233492842557799,1.0
gpt-5,1.0,0.28260281240506274,-0.4160035415263117,-1.1256981347859185,1.0
gpt-5,1.0,0.28260281240506274,-0.16567558082832612,-0.1465586052696362,1.0
gpt-5,1.0,0.28260281240506274,0.14384103622589084,1.0640930293097368,1.0
gpt-5,1.0,0.28260281240506274,-0.11157177565710441,0.06506447587831372,0.0
gpt-5,1.0,0.28260281240506274,-0.17046329348529632,-0.16528539354104596,0.0
gpt-5,1.0,0.28260281240506274,0.0021290605472534807,0.5097969898025513,1.0
gpt-5,1.0,0.28260281240506274,-0.047113214262552106,0.31718942948389084,1.0
gpt-5,1.0,0.28260281240506274,0.039885404939378866,0.6574781724450377,1.0
gpt-5,1.0,0.28260281240506274,-0.2262891611853579,-0.38364419645808817,1.0
gpt-5,1.0,0.28260281240506274,-0.22314355131420882,-0.37134037326274555,1.0
gpt-5,1.0,0.28260281240506274,-0.5271087020630913,-1.5602778529743426,0.0
gpt-5,1.0,0.28260281240506274,0.032119398701690116,0.6271020064243146,1.0
gpt-5,1.0,0.28260281240506274,-0.2135681260002702,-0.33388679671993304,1.0
gpt-5,1.0,0.28260281240506274,-0.1914584917585369,-0.24740657769499524,1.0
gpt-5,1.0,0.28260281240506274,-0.5004024235381879,-1.4558181956628162,0.0
gpt-5,1.0,0.28260281240506274,0.2111959397716765,1.3275468136354998,1.0
gpt-5,1.0,0.28260281240506274,-0.22220696173333288,-0.3676769715436099,0.0
gpt-5,1.0,0.28260281240506274,-0.21031580682971462,-0.32116558789605515,1.0
gpt-5,1.0,0.28260281240506274,-0.43665224481379017,-1.2064640291176965,1.0
gpt-5,1.0,0.28260281240506274,-0.06238129226852873,0.2574694578366718,1.0
